idx,in_tok,out_tok,lat,tps,vram_mb
1,50,4096,585.9027494430001,6.990921281550467,16028.87548828125
2,52,4096,573.93674844,7.136674923035009,16031.02783203125
3,52,180,24.433606988000065,7.366902483468869,16031.02783203125
